 -L
  Maximum tree depth (default -1, no maximum)
  
  -I <num>
  Number of iterations.
  (default 10)
  
  test and train
  depth = (1,2,3,5,10)
  trees = 10,20,40,60,80,100
  depth, trees, train_acc, test_acc
  1,10, .967, .920
  2,10, .967, .920
  3,10, .967, .920
  5,10, .970, .920
  10,10, .970, .920
  
  1,20, .967, .920
  2,20, .967, .920
  3,20, .967, .920
  5,20, .967, .920
  10,20, .967, .920
  
  1,40, .967, .920
  2,40, .967, .920
  3,40, .967, .920
  5,40, .967, .920
  10,40, .967, .920
  
    1,60, .967, .920
  2,60, .967, .920
  3,60, .967, .920
  5,60, .967, .920
  10,60, .967, .920
  
    1,80, .967, .920
  2,80, .967, .920
  3,80, .967, .920
  5,80, .967, .920
  10,80, .967, .920
  
      1,100, .967, .920
  2,100, .967, .920
  3,100, .967, .920
  5,100, .967, .920
  10,100, .967, .920
  
